ID,Carrera,Cohorte,Ciclo_ultimo,Promedio,Cursos_aprobados,Creditos_aprobados,Repitencias,Deserto
ING2022_001,Ingeniería Ambiental,2022,7,16.3,44,153,4,0
ING2022_002,Ingeniería Ambiental,2022,2,11.6,11,40,12,1
ING2022_003,Ingeniería Ambiental,2022,2,13.1,12,45,5,0
ING2022_004,Ingeniería Ambiental,2022,4,13.1,23,85,17,0
ING2022_005,Ingeniería Ambiental,2022,2,12.6,11,43,7,1
ING2022_006,Ingeniería Ambiental,2022,4,12.7,24,87,16,0
ING2022_007,Ingeniería Ambiental,2022,6,15.2,37,130,8,0
ING2022_008,Ingeniería Ambiental,2022,3,13.3,18,65,9,0
ING2022_009,Ingeniería Ambiental,2022,6,15.1,37,130,2,0
ING2022_010,Ingeniería Ambiental,2022,7,15.8,44,153,6,0
ING2022_011,Ingeniería Ambiental,2022,2,11.5,9,31,15,1
ING2022_012,Ingeniería Ambiental,2022,4,12.6,24,88,8,0
ING2022_013,Ingeniería Ambiental,2022,3,13.5,18,65,5,0
ING2022_014,Ingeniería Ambiental,2022,2,13.2,12,45,5,0
ING2022_015,Ingeniería Ambiental,2022,1,12.0,5,20,3,0
ING2022_016,Ingeniería Ambiental,2022,5,13.6,31,111,8,0
ING2022_017,Ingeniería Ambiental,2022,5,15.5,31,111,4,0
ING2022_018,Ingeniería Ambiental,2022,4,14.0,25,91,4,0
ING2022_019,Ingeniería Ambiental,2022,3,12.6,17,62,8,0
ING2022_020,Ingeniería Ambiental,2022,4,14.7,25,91,4,0
ING2022_021,Ingeniería Ambiental,2022,4,14.1,23,84,10,0
ING2022_022,Ingeniería Ambiental,2022,8,15.6,50,175,12,0
ING2022_023,Ingeniería Ambiental,2022,3,12.9,18,65,10,0
ING2022_024,Ingeniería Ambiental,2022,5,14.5,31,111,9,0
ING2022_025,Ingeniería Ambiental,2022,6,15.7,37,130,5,0
ING2022_026,Ingeniería Ambiental,2022,1,10.6,6,23,5,0
ING2022_027,Ingeniería Ambiental,2022,9,17.2,56,195,12,0
ING2022_028,Ingeniería Ambiental,2022,4,13.7,25,91,9,1
ING2022_029,Ingeniería Ambiental,2022,8,16.4,50,175,9,0
ING2022_030,Ingeniería Ambiental,2022,4,13.0,24,87,12,0
ING2022_031,Ingeniería Ambiental,2022,6,14.3,37,130,3,1
ING2022_032,Ingeniería Ambiental,2022,1,12.3,6,23,2,1
ING2022_033,Ingeniería Ambiental,2022,5,14.0,31,111,5,0
