ID,Carrera,Cohorte,Ciclo_ultimo,Promedio,Cursos_aprobados,Creditos_aprobados,Repitencias,Deserto
ING2024_001,Ingeniería Industrial,2024,4,13.1,27,93,10,1
ING2024_002,Ingeniería Industrial,2024,3,13.6,20,70,8,1
ING2024_003,Ingeniería Industrial,2024,4,13.6,26,86,19,0
ING2024_004,Ingeniería Industrial,2024,9,17.0,63,197,7,0
ING2024_005,Ingeniería Industrial,2024,4,12.9,24,82,21,0
ING2024_006,Ingeniería Industrial,2024,6,14.1,42,143,7,0
ING2024_007,Ingeniería Industrial,2024,6,14.8,42,143,11,0
ING2024_008,Ingeniería Industrial,2024,7,15.1,47,156,10,0
ING2024_009,Ingeniería Industrial,2024,6,16.3,42,143,6,0
ING2024_010,Ingeniería Industrial,2024,4,12.8,28,95,7,0
ING2024_011,Ingeniería Industrial,2024,4,13.9,28,95,7,0
ING2024_012,Ingeniería Industrial,2024,2,13.1,14,50,5,1
ING2024_013,Ingeniería Industrial,2024,4,13.9,27,91,14,1
ING2024_014,Ingeniería Industrial,2024,4,13.9,27,91,8,0
ING2024_015,Ingeniería Industrial,2024,3,12.6,21,74,8,0
ING2024_016,Ingeniería Industrial,2024,1,11.5,7,25,4,1
ING2024_017,Ingeniería Industrial,2024,5,14.8,35,119,8,1
ING2024_018,Ingeniería Industrial,2024,4,14.6,28,95,4,0
ING2024_019,Ingeniería Industrial,2024,3,13.9,20,72,8,0
ING2024_020,Ingeniería Industrial,2024,5,13.9,35,119,13,0
ING2024_021,Ingeniería Industrial,2024,2,12.1,14,50,3,0
ING2024_022,Ingeniería Industrial,2024,3,12.6,20,70,12,0
ING2024_023,Ingeniería Industrial,2024,5,13.3,35,119,6,0
ING2024_024,Ingeniería Industrial,2024,6,14.3,42,143,6,0
ING2024_025,Ingeniería Industrial,2024,5,13.4,35,119,10,1
ING2024_026,Ingeniería Industrial,2024,1,11.1,6,21,5,0
ING2024_027,Ingeniería Industrial,2024,6,16.0,42,143,5,0
ING2024_028,Ingeniería Industrial,2024,6,14.1,41,140,7,0
ING2024_029,Ingeniería Industrial,2024,4,14.2,28,95,2,0
ING2024_030,Ingeniería Industrial,2024,4,13.9,27,92,9,0
ING2024_031,Ingeniería Industrial,2024,2,12.0,14,50,5,0
ING2024_032,Ingeniería Industrial,2024,5,15.4,35,119,8,1
ING2024_033,Ingeniería Industrial,2024,2,13.0,14,50,4,0
ING2024_034,Ingeniería Industrial,2024,5,14.5,35,119,4,0
ING2024_035,Ingeniería Industrial,2024,5,14.6,35,119,7,0
ING2024_036,Ingeniería Industrial,2024,2,12.7,14,50,4,0
ING2024_037,Ingeniería Industrial,2024,1,12.3,7,25,3,1
ING2024_038,Ingeniería Industrial,2024,4,12.4,28,95,11,0
ING2024_039,Ingeniería Industrial,2024,3,13.2,21,74,6,1
ING2024_040,Ingeniería Industrial,2024,4,13.9,28,95,16,0
ING2024_041,Ingeniería Industrial,2024,4,13.1,27,91,10,0
ING2024_042,Ingeniería Industrial,2024,5,13.9,34,115,18,0
ING2024_043,Ingeniería Industrial,2024,9,16.7,63,197,14,0
ING2024_044,Ingeniería Industrial,2024,5,13.4,35,119,19,1
ING2024_045,Ingeniería Industrial,2024,3,13.1,21,74,6,0
ING2024_046,Ingeniería Industrial,2024,3,13.1,21,74,11,0
ING2024_047,Ingeniería Industrial,2024,6,14.2,42,143,13,0
ING2024_048,Ingeniería Industrial,2024,4,14.6,28,95,6,0
ING2024_049,Ingeniería Industrial,2024,6,15.1,42,143,5,0
ING2024_050,Ingeniería Industrial,2024,9,17.5,63,197,9,0
ING2024_051,Ingeniería Industrial,2024,9,18.0,63,197,9,0
ING2024_052,Ingeniería Industrial,2024,6,14.6,42,143,8,0
ING2024_053,Ingeniería Industrial,2024,4,13.8,28,95,7,0
ING2024_054,Ingeniería Industrial,2024,6,15.8,41,139,10,0
ING2024_055,Ingeniería Industrial,2024,6,15.1,42,143,12,0
ING2024_056,Ingeniería Industrial,2024,6,14.9,42,143,4,0
ING2024_057,Ingeniería Industrial,2024,7,17.1,48,159,13,0
ING2024_058,Ingeniería Industrial,2024,7,16.6,49,162,7,0
ING2024_059,Ingeniería Industrial,2024,5,14.3,35,119,4,0
ING2024_060,Ingeniería Industrial,2024,5,14.7,35,119,2,0
ING2024_061,Ingeniería Industrial,2024,1,10.5,7,25,8,0
ING2024_062,Ingeniería Industrial,2024,2,11.8,12,43,14,1
ING2024_063,Ingeniería Industrial,2024,3,13.6,20,70,15,0
ING2024_064,Ingeniería Industrial,2024,1,10.4,5,17,9,0
ING2024_065,Ingeniería Industrial,2024,4,13.7,28,95,12,1
ING2024_066,Ingeniería Industrial,2024,4,12.5,26,89,16,0
ING2024_067,Ingeniería Industrial,2024,7,14.8,49,162,9,0
ING2024_068,Ingeniería Industrial,2024,9,17.0,63,197,17,0
ING2024_069,Ingeniería Industrial,2024,1,12.2,7,25,1,0
ING2024_070,Ingeniería Industrial,2024,4,12.9,28,95,5,0
ING2024_071,Ingeniería Industrial,2024,4,13.1,27,91,18,1
ING2024_072,Ingeniería Industrial,2024,10,17.8,69,211,16,0
ING2024_073,Ingeniería Industrial,2024,4,13.5,26,89,15,0
ING2024_074,Ingeniería Industrial,2024,6,15.5,41,140,8,0
ING2024_075,Ingeniería Industrial,2024,6,15.9,41,140,14,1
ING2024_076,Ingeniería Industrial,2024,1,12.3,7,25,1,0
ING2024_077,Ingeniería Industrial,2024,4,12.4,26,89,17,0
ING2024_078,Ingeniería Industrial,2024,4,13.1,28,95,4,0
ING2024_079,Ingeniería Industrial,2024,4,13.2,28,95,12,0
ING2024_080,Ingeniería Industrial,2024,5,13.8,35,119,10,0
ING2024_081,Ingeniería Industrial,2024,6,15.1,42,143,7,0
ING2024_082,Ingeniería Industrial,2024,4,13.8,27,92,11,0
ING2024_083,Ingeniería Industrial,2024,2,12.4,13,47,8,0
ING2024_084,Ingeniería Industrial,2024,3,13.4,19,67,12,0
ING2024_085,Ingeniería Industrial,2024,8,16.3,56,175,10,0
ING2024_086,Ingeniería Industrial,2024,5,15.3,34,114,12,0
ING2024_087,Ingeniería Industrial,2024,5,13.3,33,114,10,0
ING2024_088,Ingeniería Industrial,2024,1,11.0,5,19,9,1
ING2024_089,Ingeniería Industrial,2024,2,12.3,13,47,6,0
ING2024_090,Ingeniería Industrial,2024,3,13.8,20,70,8,0
ING2024_091,Ingeniería Industrial,2024,4,13.8,27,91,17,0
ING2024_092,Ingeniería Industrial,2024,5,14.5,35,119,5,0
ING2024_093,Ingeniería Industrial,2024,3,13.9,20,69,4,0
ING2024_094,Ingeniería Industrial,2024,7,15.1,49,162,8,0
ING2024_095,Ingeniería Industrial,2024,6,15.2,42,143,9,0
ING2024_096,Ingeniería Industrial,2024,6,14.8,42,143,8,0
ING2024_097,Ingeniería Industrial,2024,4,14.2,28,95,2,0
ING2024_098,Ingeniería Industrial,2024,8,16.2,56,175,9,0
ING2024_099,Ingeniería Industrial,2024,5,14.9,35,119,3,0
ING2024_100,Ingeniería Industrial,2024,1,10.9,7,25,0,1
