ID,Carrera,Cohorte,Ciclo_ultimo,Promedio,Cursos_aprobados,Creditos_aprobados,Repitencias,Deserto
ING2021_001,Ingeniería Informática,2021,4,14.3,43,127,7,1
ING2021_002,Ingeniería Informática,2021,5,13.8,54,170,10,0
ING2021_003,Ingeniería Informática,2021,3,13.0,32,90,15,0
ING2021_004,Ingeniería Informática,2021,2,12.6,21,55,9,0
ING2021_005,Ingeniería Informática,2021,3,12.9,28,80,23,0
ING2021_006,Ingeniería Informática,2021,4,13.1,40,118,26,0
ING2021_007,Ingeniería Informática,2021,5,13.8,54,170,22,0
ING2021_008,Ingeniería Informática,2021,3,13.5,31,88,11,0
ING2021_009,Ingeniería Informática,2021,6,15.5,64,205,11,0
ING2021_010,Ingeniería Informática,2021,5,13.5,54,170,16,1
ING2021_011,Ingeniería Informática,2021,8,17.3,86,234,23,0
ING2021_012,Ingeniería Informática,2021,3,13.6,31,85,7,0
ING2021_013,Ingeniería Informática,2021,3,12.8,31,89,17,0
ING2021_014,Ingeniería Informática,2021,6,14.5,65,208,9,0
ING2021_015,Ingeniería Informática,2021,3,13.3,32,90,12,0
ING2021_016,Ingeniería Informática,2021,4,13.8,42,122,18,0
ING2021_017,Ingeniería Informática,2021,6,16.4,65,208,13,0
ING2021_018,Ingeniería Informática,2021,4,14.2,43,127,14,0
ING2021_019,Ingeniería Informática,2021,1,12.3,10,23,3,0
ING2021_020,Ingeniería Informática,2021,7,15.9,76,226,13,0
ING2021_021,Ingeniería Informática,2021,2,13.0,19,48,13,0
ING2021_022,Ingeniería Informática,2021,5,13.8,51,162,30,0
ING2021_023,Ingeniería Informática,2021,5,14.8,54,170,6,0
ING2021_024,Ingeniería Informática,2021,1,11.0,10,23,7,0
ING2021_025,Ingeniería Informática,2021,6,16.0,65,208,12,1
ING2021_026,Ingeniería Informática,2021,7,16.1,76,226,18,0
ING2021_027,Ingeniería Informática,2021,9,16.6,98,248,16,0
ING2021_028,Ingeniería Informática,2021,2,11.1,20,53,18,0
ING2021_029,Ingeniería Informática,2021,5,13.8,53,168,12,0
ING2021_030,Ingeniería Informática,2021,6,14.5,65,208,10,0
ING2021_031,Ingeniería Informática,2021,5,13.8,54,170,15,0
ING2021_032,Ingeniería Informática,2021,2,10.9,21,55,13,0
ING2021_033,Ingeniería Informática,2021,9,17.6,97,247,22,0
ING2021_034,Ingeniería Informática,2021,3,13.8,30,86,21,0
ING2021_035,Ingeniería Informática,2021,6,16.1,65,208,12,0
ING2021_036,Ingeniería Informática,2021,6,15.0,65,208,2,0
ING2021_037,Ingeniería Informática,2021,4,14.1,43,127,4,0
ING2021_038,Ingeniería Informática,2021,3,12.4,31,85,18,0
ING2021_039,Ingeniería Informática,2021,4,12.5,41,120,24,0
ING2021_040,Ingeniería Informática,2021,5,13.4,50,159,34,0
ING2021_041,Ingeniería Informática,2021,8,16.1,87,237,15,0
ING2021_042,Ingeniería Informática,2021,4,14.2,42,124,17,0
ING2021_043,Ingeniería Informática,2021,5,15.3,54,170,10,0
ING2021_044,Ingeniería Informática,2021,2,13.2,20,52,10,0
ING2021_045,Ingeniería Informática,2021,4,13.4,42,125,17,0
ING2021_046,Ingeniería Informática,2021,1,12.0,9,20,5,0
ING2021_047,Ingeniería Informática,2021,5,14.1,54,170,10,1
ING2021_048,Ingeniería Informática,2021,6,14.7,65,208,15,0
ING2021_049,Ingeniería Informática,2021,2,11.4,20,50,19,0
ING2021_050,Ingeniería Informática,2021,6,14.7,65,208,11,0
ING2021_051,Ingeniería Informática,2021,3,13.8,32,90,8,0
ING2021_052,Ingeniería Informática,2021,3,13.9,32,90,6,0
ING2021_053,Ingeniería Informática,2021,5,15.5,54,170,14,0
ING2021_054,Ingeniería Informática,2021,1,12.2,10,23,5,0
ING2021_055,Ingeniería Informática,2021,4,13.1,43,127,20,0
ING2021_056,Ingeniería Informática,2021,5,13.6,54,170,27,1
ING2021_057,Ingeniería Informática,2021,4,14.6,43,127,5,0
ING2021_058,Ingeniería Informática,2021,6,15.2,65,208,12,0
ING2021_059,Ingeniería Informática,2021,7,15.4,76,226,13,0
ING2021_060,Ingeniería Informática,2021,3,12.3,30,85,17,0
ING2021_061,Ingeniería Informática,2021,7,16.6,75,223,8,0
