codigo,nombre,tipo_estudio,modalidad,tipo_asignatura,prerrequisito,creditos_total,carrera,cohorte,archivo
C0659,CÁLCULO DIFERENCIAL PARAINGENIERÍA,GENERAL,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0201,QUÍMICA GENERAL,GENERAL,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0737,ÁLGEBRA MATRICIAL Y GEOMETRÍAANALÍTICA,GENERAL,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0090,FILOSOFÍA,GENERAL,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0613,COMUNICACIÓN Y REDACCIÓN I,GENERAL,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0736,INTRODUCCIÓN A LA INGENIERÍAAMBIENTAL,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8191,PROCESOS DE INNOVACIÓN ENINGENIERÍA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0657,CÁLCULO INTEGRAL PARAINGENIERÍA,GENERAL,PRESENCIAL,OBLIGATORIO,C0659,4,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0622,FÍSICA PARA INGENIERÍA 1,GENERAL,PRESENCIAL,OBLIGATORIO,"C0659,C0737",5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8190,BIOLOGÍA PARA INGENIERÍA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0667,FUNDAMENTOS DEPROGRAMACIÓN,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0659,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0614,COMUNICACIÓN Y REDACCIÓN II,GENERAL,PRESENCIAL,OBLIGATORIO,C0613,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8425,INGLÉS 1,GENERAL,PRESENCIAL,OBLIGATORIO,,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0741,CÁLCULO VECTORIAL PARAINGENIERÍA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,"C0657,C0737",4,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0742,FÍSICA PARA INGENIERÍA 2,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0622,5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0208,QUÍMICA ORGÁNICA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0201,5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0739,GEOLOGÍA Y EDAFOLOGÍA,ESPECÍFICO,SEMI-PRESENCIAL,OBLIGATORIO,,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0096,FISICOQUÍMICA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,"C0201,C0622",5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0743,ECUACIONES DIFERENCIALES,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0741,4,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C1231,TRATAMIENTO MATEMÁTICO DEDATOS EXPERIMENTALES PARA INGENIERÍA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0741,5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0745,FÍSICA PARA INGENIERÍA 3,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0742,5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8251,FUNDAMENTOS DE QUÍMICAANALÍTICA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0201,5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8243,QUÍMICA DE SOLUCIONESACUOSAS,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0201,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8426,INGLÉS 2,GENERAL,PRESENCIAL,OBLIGATORIO,C8425,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8244,TERMODINÁMICA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,"C0743,C0096",5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0997,PROGRAMACIÓN AVANZADA,ESPECÍFICO,NO PRESENCIAL,OBLIGATORIO,C0667,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0751,ECOLOGÍA Y BIODIVERSIDAD,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C8190,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0065,ECOTOXICOLOGÍA,DE ESPECIALIDAD,SEMI-PRESENCIAL,OBLIGATORIO,C8190,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0752,PRINCIPIOS GENERALES DEBIOTECNOLOGÍA APLICADA AL MEDIO AMBIENTE,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C0096,4,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C1324,FUNDAMENTOS DE DISEÑO,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C8191,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8427,INGLÉS 3,GENERAL,PRESENCIAL,OBLIGATORIO,C8426,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8457,FUNDAMENTOS DEMICROBIOLOGÍA APLICADA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C8190,4,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0755,QUÍMICA Y FÍSICA AMBIENTALES,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,"C8243,C8251",5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0749,MECÁNICA DE FLUIDOS,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,"C0743,C0742",2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0602,HIDROLOGÍA,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,"C1231,C8244",3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C1330,PROYECTOS DE INGENIERÍA 1,ESPECÍFICO,SEMI-PRESENCIAL,OBLIGATORIO,C1324,5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8428,INGLÉS 4,GENERAL,PRESENCIAL,OBLIGATORIO,C8427,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0760,MODELAMIENTO AMBIENTAL,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,"C0755,C0997",3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8266,ECONOMÍA Y DERECHOSAMBIENTALES,ESPECÍFICO,NO PRESENCIAL,OBLIGATORIO,,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0762,SISTEMA DE INFORMACIÓNGEOGRÁFICA,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C0997,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C1335,DESARROLLO PROFESIONAL 1,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8267,RESIDUOS SÓLIDOS Y CONSUMORESPONSABLE,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C0755,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0764,MONITOREO AMBIENTAL,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,"C0755,C1231",5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8268,EVALUACIÓN DE IMPACTOAMBIENTAL,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,"C0764,C8266",3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0768,TRATAMIENTO DE LAS AGUASRESIDUALES,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,"C8243,C8457",4,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0769,GESTIÓN DE CUENCAS,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C0602,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C1342,DESARROLLO PROFESIONAL 2,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C1335,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0770,SERVICIOS ECOSISTÉMICOS,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C0751,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C1343,PROYECTOS DE INGENIERÍA 2,ESPECÍFICO,SEMI-PRESENCIAL,OBLIGATORIO,C1330,5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0772,ÉTICA,GENERAL,PRESENCIAL,OBLIGATORIO,C0090,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8269,TESIS 1,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0513,CIENCIAS SOCIALES,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0614,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8270,DISEÑO DE NEGOCIOS ENINGENIERÍA,ESPECÍFICO,SEMI-PRESENCIAL,OBLIGATORIO,C1343,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0766,CIUDADANÍA Y CONFLICTOSAMBIENTALES,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0772,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C7774,TRABAJO DE INVESTIGACIÓN,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C8269,5,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C0785,GESTIÓN DE LOS DESASTRES YSEGURIDAD,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C8268,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C8272,NORMAS Y REGULACIONES ENINGENIERÍA,ESPECÍFICO,SEMI-PRESENCIAL,OBLIGATORIO,C8270,2,Ingeniería Ambiental,2022,ambiental_malla_2022.md
C1638,MITIGACIÓN DE LA  CONTAMINACIÓN  DEL AIRE,DE ESPECIALIDAD,PRESENCIAL,ELECTIVO,C0764,3,Ingeniería Ambiental,2022,ambiental_malla_2022.md
