ID,Carrera,Cohorte,Ciclo_ultimo,Promedio,Cursos_aprobados,Creditos_aprobados,Repitencias,Deserto
ING2020_001,Ingeniería Ambiental,2020,7,15.5,88,245,15,0
ING2020_002,Ingeniería Ambiental,2020,6,14.3,75,232,18,0
ING2020_003,Ingeniería Ambiental,2020,5,14.9,62,208,12,0
ING2020_004,Ingeniería Ambiental,2020,8,16.4,100,257,18,0
ING2020_005,Ingeniería Ambiental,2020,7,15.5,87,240,19,0
ING2020_006,Ingeniería Ambiental,2020,4,13.0,50,161,24,0
ING2020_007,Ingeniería Ambiental,2020,2,11.5,21,72,21,0
ING2020_008,Ingeniería Ambiental,2020,4,14.2,50,161,11,1
ING2020_009,Ingeniería Ambiental,2020,5,14.3,62,209,16,0
ING2020_010,Ingeniería Ambiental,2020,6,14.0,75,232,10,0
ING2020_011,Ingeniería Ambiental,2020,4,13.8,49,158,23,0
ING2020_012,Ingeniería Ambiental,2020,6,14.2,75,232,16,0
ING2020_013,Ingeniería Ambiental,2020,5,13.5,62,208,28,1
ING2020_014,Ingeniería Ambiental,2020,1,11.0,10,32,11,1
ING2020_015,Ingeniería Ambiental,2020,5,13.8,62,209,21,0
ING2020_016,Ingeniería Ambiental,2020,7,15.7,88,245,17,0
ING2020_017,Ingeniería Ambiental,2020,4,13.7,48,155,20,0
ING2020_018,Ingeniería Ambiental,2020,6,15.3,74,229,9,0
ING2020_019,Ingeniería Ambiental,2020,5,13.5,61,207,31,0
ING2020_020,Ingeniería Ambiental,2020,6,14.4,75,232,16,0
ING2020_021,Ingeniería Ambiental,2020,6,14.8,75,232,10,0
ING2020_022,Ingeniería Ambiental,2020,6,16.4,74,228,11,0
ING2020_023,Ingeniería Ambiental,2020,3,13.6,34,112,24,0
ING2020_024,Ingeniería Ambiental,2020,4,14.6,50,161,10,0
ING2020_025,Ingeniería Ambiental,2020,5,15.0,62,210,10,0
ING2020_026,Ingeniería Ambiental,2020,3,13.5,34,114,17,0
ING2020_027,Ingeniería Ambiental,2020,7,14.9,88,245,15,0
ING2020_028,Ingeniería Ambiental,2020,6,15.4,75,232,7,0
ING2020_029,Ingeniería Ambiental,2020,8,17.0,100,257,12,0
ING2020_030,Ingeniería Ambiental,2020,2,11.4,21,71,19,0
ING2020_031,Ingeniería Ambiental,2020,2,12.9,25,84,14,1
ING2020_032,Ingeniería Ambiental,2020,5,14.9,63,212,8,0
ING2020_033,Ingeniería Ambiental,2020,3,13.6,36,119,18,0
ING2020_034,Ingeniería Ambiental,2020,5,14.9,63,212,10,0
ING2020_035,Ingeniería Ambiental,2020,3,13.6,34,114,21,0
ING2020_036,Ingeniería Ambiental,2020,5,14.1,63,212,13,0
ING2020_037,Ingeniería Ambiental,2020,9,16.8,113,274,18,0
ING2020_038,Ingeniería Ambiental,2020,5,15.0,63,212,9,0
ING2020_039,Ingeniería Ambiental,2020,4,14.4,50,161,10,0
ING2020_040,Ingeniería Ambiental,2020,8,16.0,99,255,20,0
ING2020_041,Ingeniería Ambiental,2020,5,14.7,63,212,15,1
ING2020_042,Ingeniería Ambiental,2020,1,11.5,11,37,9,0
ING2020_043,Ingeniería Ambiental,2020,8,15.7,99,252,11,0
ING2020_044,Ingeniería Ambiental,2020,3,13.8,36,118,13,1
ING2020_045,Ingeniería Ambiental,2020,1,11.5,11,38,14,0
ING2020_046,Ingeniería Ambiental,2020,4,12.8,49,159,13,0
ING2020_047,Ingeniería Ambiental,2020,8,17.1,100,257,18,0
ING2020_048,Ingeniería Ambiental,2020,1,10.1,10,35,12,0
ING2020_049,Ingeniería Ambiental,2020,4,13.6,49,160,19,0
ING2020_050,Ingeniería Ambiental,2020,5,15.2,63,212,14,0
ING2020_051,Ingeniería Ambiental,2020,4,13.3,46,147,26,0
ING2020_052,Ingeniería Ambiental,2020,4,13.9,49,156,20,0
ING2020_053,Ingeniería Ambiental,2020,6,15.0,75,232,14,0
ING2020_054,Ingeniería Ambiental,2020,4,13.6,49,156,16,0
ING2020_055,Ingeniería Ambiental,2020,1,11.9,10,37,13,1
ING2020_056,Ingeniería Ambiental,2020,5,14.9,63,212,5,0
ING2020_057,Ingeniería Ambiental,2020,4,14.6,49,158,11,0
ING2020_058,Ingeniería Ambiental,2020,3,13.4,35,115,20,0
ING2020_059,Ingeniería Ambiental,2020,7,15.1,88,245,15,1
ING2020_060,Ingeniería Ambiental,2020,3,13.9,36,118,12,0
ING2020_061,Ingeniería Ambiental,2020,2,11.9,25,84,19,0
ING2020_062,Ingeniería Ambiental,2020,5,15.3,63,212,12,0
ING2020_063,Ingeniería Ambiental,2020,2,12.6,21,71,17,1
ING2020_064,Ingeniería Ambiental,2020,4,14.0,50,161,6,0
ING2020_065,Ingeniería Ambiental,2020,6,15.0,75,232,16,0
ING2020_066,Ingeniería Ambiental,2020,10,18.0,126,313,15,0
ING2020_067,Ingeniería Ambiental,2020,5,15.4,63,212,12,0
ING2020_068,Ingeniería Ambiental,2020,7,16.0,88,245,13,0
ING2020_069,Ingeniería Ambiental,2020,6,14.8,75,232,6,0
ING2020_070,Ingeniería Ambiental,2020,8,16.1,100,257,13,0
ING2020_071,Ingeniería Ambiental,2020,4,12.5,49,156,24,0
ING2020_072,Ingeniería Ambiental,2020,5,13.3,60,202,37,0
ING2020_073,Ingeniería Ambiental,2020,4,13.9,47,155,26,0
ING2020_074,Ingeniería Ambiental,2020,5,14.0,63,212,6,1
ING2020_075,Ingeniería Ambiental,2020,4,14.7,50,161,14,1
ING2020_076,Ingeniería Ambiental,2020,4,14.5,50,161,8,0
ING2020_077,Ingeniería Ambiental,2020,2,12.9,24,81,9,1
ING2020_078,Ingeniería Ambiental,2020,4,13.2,50,161,17,0
ING2020_079,Ingeniería Ambiental,2020,5,13.8,63,212,16,0
ING2020_080,Ingeniería Ambiental,2020,4,13.8,47,150,29,1
ING2020_081,Ingeniería Ambiental,2020,3,12.4,37,123,7,1
ING2020_082,Ingeniería Ambiental,2020,6,14.7,75,232,9,0
ING2020_083,Ingeniería Ambiental,2020,4,13.1,48,154,26,0
ING2020_084,Ingeniería Ambiental,2020,4,13.9,50,161,13,0
ING2020_085,Ingeniería Ambiental,2020,7,16.1,88,245,17,0
ING2020_086,Ingeniería Ambiental,2020,5,13.3,62,207,15,0
ING2020_087,Ingeniería Ambiental,2020,6,14.8,75,232,15,0
ING2020_088,Ingeniería Ambiental,2020,3,12.5,36,119,19,0
ING2020_089,Ingeniería Ambiental,2020,6,14.6,75,232,10,0
ING2020_090,Ingeniería Ambiental,2020,4,13.6,50,161,14,0
ING2020_091,Ingeniería Ambiental,2020,6,14.9,75,232,10,0
ING2020_092,Ingeniería Ambiental,2020,4,13.3,50,161,13,1
ING2020_093,Ingeniería Ambiental,2020,5,13.4,62,208,20,0
ING2020_094,Ingeniería Ambiental,2020,6,14.6,75,232,14,1
ING2020_095,Ingeniería Ambiental,2020,8,15.7,100,257,11,0
ING2020_096,Ingeniería Ambiental,2020,6,14.5,75,232,11,0
ING2020_097,Ingeniería Ambiental,2020,8,16.9,100,257,16,0
ING2020_098,Ingeniería Ambiental,2020,5,13.3,60,203,24,0
ING2020_099,Ingeniería Ambiental,2020,5,14.2,63,212,4,0
ING2020_100,Ingeniería Ambiental,2020,9,17.2,113,274,24,0
ING2020_101,Ingeniería Ambiental,2020,5,15.4,63,212,9,0
ING2020_102,Ingeniería Ambiental,2020,2,11.8,23,77,21,0
ING2020_103,Ingeniería Ambiental,2020,2,12.6,24,81,14,0
ING2020_104,Ingeniería Ambiental,2020,5,13.4,59,200,32,0
ING2020_105,Ingeniería Ambiental,2020,5,14.0,63,212,14,1
ING2020_106,Ingeniería Ambiental,2020,3,13.5,34,114,16,0
ING2020_107,Ingeniería Ambiental,2020,3,12.7,35,118,13,0
ING2020_108,Ingeniería Ambiental,2020,4,12.8,48,154,20,0
ING2020_109,Ingeniería Ambiental,2020,3,12.1,35,115,19,0
ING2020_110,Ingeniería Ambiental,2020,1,12.0,12,42,4,0
ING2020_111,Ingeniería Ambiental,2020,10,18.0,126,313,19,0
ING2020_112,Ingeniería Ambiental,2020,6,14.4,75,232,13,0
ING2020_113,Ingeniería Ambiental,2020,4,14.1,50,161,6,0
ING2020_114,Ingeniería Ambiental,2020,3,11.9,30,99,46,0
ING2020_115,Ingeniería Ambiental,2020,4,13.0,49,156,19,0
ING2020_116,Ingeniería Ambiental,2020,5,14.4,63,212,7,1
ING2020_117,Ingeniería Ambiental,2020,4,12.9,46,148,27,0
ING2020_118,Ingeniería Ambiental,2020,4,14.2,50,161,9,0
ING2020_119,Ingeniería Ambiental,2020,5,15.2,62,209,19,0
ING2020_120,Ingeniería Ambiental,2020,3,13.2,35,117,16,1
ING2020_121,Ingeniería Ambiental,2020,6,15.6,74,230,19,0
ING2020_122,Ingeniería Ambiental,2020,6,15.1,75,232,14,1
ING2020_123,Ingeniería Ambiental,2020,5,14.9,62,209,16,0
ING2020_124,Ingeniería Ambiental,2020,1,10.0,11,39,6,1
ING2020_125,Ingeniería Ambiental,2020,5,14.4,63,212,5,0
ING2020_126,Ingeniería Ambiental,2020,4,13.9,50,161,8,0
ING2020_127,Ingeniería Ambiental,2020,6,16.2,75,232,15,0
ING2020_128,Ingeniería Ambiental,2020,7,16.0,88,245,17,0
ING2020_129,Ingeniería Ambiental,2020,8,15.7,100,257,19,0
ING2020_130,Ingeniería Ambiental,2020,7,15.7,88,245,14,0
ING2020_131,Ingeniería Ambiental,2020,5,15.4,63,212,15,0
ING2020_132,Ingeniería Ambiental,2020,4,14.1,50,161,8,1
ING2020_133,Ingeniería Ambiental,2020,3,12.4,37,123,17,1
ING2020_134,Ingeniería Ambiental,2020,9,17.5,113,274,13,0
ING2020_135,Ingeniería Ambiental,2020,5,14.4,62,207,13,0
ING2020_136,Ingeniería Ambiental,2020,2,11.4,21,69,25,0
ING2020_137,Ingeniería Ambiental,2020,1,12.1,11,38,7,0
ING2020_138,Ingeniería Ambiental,2020,10,17.4,125,312,19,0
ING2020_139,Ingeniería Ambiental,2020,4,14.5,49,157,10,0
ING2020_140,Ingeniería Ambiental,2020,5,14.2,63,212,11,0
ING2020_141,Ingeniería Ambiental,2020,4,14.2,50,161,12,1
ING2020_142,Ingeniería Ambiental,2020,3,12.4,37,123,9,0
ING2020_143,Ingeniería Ambiental,2020,6,16.2,74,227,12,0
ING2020_144,Ingeniería Ambiental,2020,3,13.6,35,113,20,0
ING2020_145,Ingeniería Ambiental,2020,6,14.7,75,232,16,0
ING2020_146,Ingeniería Ambiental,2020,7,15.0,88,245,18,0
ING2020_147,Ingeniería Ambiental,2020,8,15.7,100,257,11,0
ING2020_148,Ingeniería Ambiental,2020,6,14.0,73,227,25,0
ING2020_149,Ingeniería Ambiental,2020,5,13.3,62,210,25,0
ING2020_150,Ingeniería Ambiental,2020,2,11.4,20,64,22,0
ING2020_151,Ingeniería Ambiental,2020,5,13.9,63,212,27,0
ING2020_152,Ingeniería Ambiental,2020,6,16.3,74,229,15,0
ING2020_153,Ingeniería Ambiental,2020,6,15.7,75,232,12,0
ING2020_154,Ingeniería Ambiental,2020,4,14.3,49,159,8,0
ING2020_155,Ingeniería Ambiental,2020,6,15.9,75,232,13,0
ING2020_156,Ingeniería Ambiental,2020,7,14.8,87,242,20,0
ING2020_157,Ingeniería Ambiental,2020,3,11.9,33,109,33,0
ING2020_158,Ingeniería Ambiental,2020,6,14.4,75,232,14,0
ING2020_159,Ingeniería Ambiental,2020,7,14.9,88,245,12,0
ING2020_160,Ingeniería Ambiental,2020,7,15.7,88,245,14,0
ING2020_161,Ingeniería Ambiental,2020,2,13.1,24,81,7,0
ING2020_162,Ingeniería Ambiental,2020,2,11.8,23,78,14,1
ING2020_163,Ingeniería Ambiental,2020,2,12.4,24,82,13,0
ING2020_164,Ingeniería Ambiental,2020,6,14.7,74,230,15,0
ING2020_165,Ingeniería Ambiental,2020,6,14.4,75,232,12,0
ING2020_166,Ingeniería Ambiental,2020,6,14.6,75,232,9,0
ING2020_167,Ingeniería Ambiental,2020,9,17.3,113,274,23,0
ING2020_168,Ingeniería Ambiental,2020,4,13.6,49,158,17,0
ING2020_169,Ingeniería Ambiental,2020,9,16.7,112,273,21,0
ING2020_170,Ingeniería Ambiental,2020,8,15.7,99,254,26,0
ING2020_171,Ingeniería Ambiental,2020,7,15.5,88,245,17,0
ING2020_172,Ingeniería Ambiental,2020,3,13.9,37,123,11,0
ING2020_173,Ingeniería Ambiental,2020,1,12.3,12,42,2,1
ING2020_174,Ingeniería Ambiental,2020,7,15.2,85,235,16,0
ING2020_175,Ingeniería Ambiental,2020,6,15.0,75,232,11,0
ING2020_176,Ingeniería Ambiental,2020,3,11.8,32,108,30,0
ING2020_177,Ingeniería Ambiental,2020,6,14.3,75,232,15,0
ING2020_178,Ingeniería Ambiental,2020,4,13.7,50,161,16,0
ING2020_179,Ingeniería Ambiental,2020,6,15.1,72,223,22,0
ING2020_180,Ingeniería Ambiental,2020,6,14.9,75,232,13,1
ING2020_181,Ingeniería Ambiental,2020,2,11.2,22,76,20,1
ING2020_182,Ingeniería Ambiental,2020,6,14.2,74,231,17,0
ING2020_183,Ingeniería Ambiental,2020,3,11.7,34,111,30,0
ING2020_184,Ingeniería Ambiental,2020,5,14.4,62,209,14,0
ING2020_185,Ingeniería Ambiental,2020,6,14.8,75,232,19,1
ING2020_186,Ingeniería Ambiental,2020,6,14.4,73,225,16,0
ING2020_187,Ingeniería Ambiental,2020,9,16.7,113,274,23,0
ING2020_188,Ingeniería Ambiental,2020,5,14.7,63,212,12,0
ING2020_189,Ingeniería Ambiental,2020,6,14.7,75,232,14,0
ING2020_190,Ingeniería Ambiental,2020,2,13.0,25,84,11,0
ING2020_191,Ingeniería Ambiental,2020,4,14.6,49,157,7,0
ING2020_192,Ingeniería Ambiental,2020,4,13.4,48,152,24,0
ING2020_193,Ingeniería Ambiental,2020,1,10.6,11,39,9,1
ING2020_194,Ingeniería Ambiental,2020,6,14.0,75,232,19,0
ING2020_195,Ingeniería Ambiental,2020,1,11.1,9,29,11,0
ING2020_196,Ingeniería Ambiental,2020,7,15.8,88,245,17,0
ING2020_197,Ingeniería Ambiental,2020,2,11.6,24,81,19,0
ING2020_198,Ingeniería Ambiental,2020,8,16.2,100,257,17,0
ING2020_199,Ingeniería Ambiental,2020,5,14.0,63,212,9,1
ING2020_200,Ingeniería Ambiental,2020,2,12.3,24,82,14,0
ING2020_201,Ingeniería Ambiental,2020,5,15.2,63,212,11,1
ING2020_202,Ingeniería Ambiental,2020,5,14.2,63,212,7,1
ING2020_203,Ingeniería Ambiental,2020,8,16.0,100,257,20,0
