codigo,nombre,tipo_estudio,modalidad,tipo_asignatura,prerrequisito,creditos_total,carrera,cohorte,archivo
C0659,CALCULO DIFERENCIAL  PARA INGENIERIA,GENERAL,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0757,ALGEBRA MATRICIAL Y  GEOMETRIA ANALITICA,GENERAL,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0201,QUIMICA GENERAL,GENERAL,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Ambiental,2020,ambiental_malla_2020.md
,INTRODUCCION A LA   INGENIERIA AMBIENTAL,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,,2,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0613 / U0082,COMUNICACION Y   REDACCION I,GENERAL,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0090 / U0006,FILOSOFIA,GENERAL,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Ambiental,2020,ambiental_malla_2020.md
,ACTIVIDAD   COMPLEMENTARIA I,GENERAL,PRESENCIAL,ELECTIVA,,1,Ingeniería Ambiental,2020,ambiental_malla_2020.md
U0104,FUNDAMENTOS DE   BIOLOGIA CELULAR,GENERAL,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Ambiental,2020,ambiental_malla_2020.md
,FISICA PARA INGENIERIA 1,GENERAL,PRESENCIAL,OBLIGATORIO,C0757,5,Ingeniería Ambiental,2020,ambiental_malla_2020.md
,PROCESOS DE INNOVACION  EN INGENIERIA AMBIENTAL,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,,2,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0739,GEOLOGIA Y EDAFOLOGIA,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0614 / U0083,COMUNICACION Y   REDACCION II,GENERAL,PRESENCIAL,OBLIGATORIO,"C0613,U0082",3,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0657,CALCULO INTEGRAL PARA  INGENIERIA,GENERAL,PRESENCIAL,OBLIGATORIO,C0659,4,Ingeniería Ambiental,2020,ambiental_malla_2020.md
,ACTIVIDAD   COMPLEMENTARIA II,GENERAL,PRESENCIAL,ELECTIVA,,1,Ingeniería Ambiental,2020,ambiental_malla_2020.md
,CALCULO VECTORIAL PARA  INGENIERIA,GENERAL,PRESENCIAL,OBLIGATORIO,C0757,4,Ingeniería Ambiental,2020,ambiental_malla_2020.md
,FISICA PARA INGENIERIA 2,GENERAL,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0617,ASIGNATURA   COMPLEMENTARIA   OBLIGATORIA: INGLES   BASICO INICIAL,GENERAL,PRESENCIAL,OBLIGATORIO,,2,Ingeniería Ambiental,2020,ambiental_malla_2020.md
,FUNDAMENTOS DE   PROGRAMACION,GENERAL,PRESENCIAL,OBLIGATORIO,C0659,3,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0208,QUIMICA ORGANICA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0201,5,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0096,FISICOQUIMICA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0201,5,Ingeniería Ambiental,2020,ambiental_malla_2020.md
,ANALISIS DE CICLO DE VIDA  DE PRODUCTOS Y SERVICIOS,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,2,Ingeniería Ambiental,2020,ambiental_malla_2020.md
,MECANICA DE FLUIDOS,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,2,Ingeniería Ambiental,2020,ambiental_malla_2020.md
,QUIMICA ANALITICA   CUANTITATIVA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,"C0201,U0082",5,Ingeniería Ambiental,2020,ambiental_malla_2020.md
,TRATAMIENTO   MATEMATICO DE DATOS  EXPERIMENTALES PARA  INGENIERIA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Ambiental,2020,ambiental_malla_2020.md
,ECUACIONES   DIFERENCIALES,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0619,ASIGNATURA   COMPLEMENTARIA   OBLIGATORIA: INGLES   BASICO ELEMENTAL,GENERAL,PRESENCIAL,OBLIGATORIO,C0617,2,Ingeniería Ambiental,2020,ambiental_malla_2020.md
,FISICA PARA INGENIERIA 3,GENERAL,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0751,ECOLOGIA Y BIODIVERSIDAD,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0739,3,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0065,ECOTOXICOLOGIA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0739,3,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0752,PRINCIPIOS GENERALES DE  BIOTECNOLOGIA APLICADA  AL MEDIO AMBIENTE,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C0096,4,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0039,BIOQUIMICA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,U0104,5,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0620,ASIGNATURA   COMPLEMENTARIA   OBLIGATORIA: INGLES PRE  INTERMEDIO,GENERAL,PRESENCIAL,OBLIGATORIO,C0619,2,Ingeniería Ambiental,2020,ambiental_malla_2020.md
C0750,PROGRAMACION AVANZADA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,2,Ingeniería Ambiental,2020,ambiental_malla_2020.md
