codigo,nombre,tipo_estudio,modalidad,tipo_asignatura,prerrequisito,creditos_total,carrera,cohorte,archivo
U0130,CALCULO DIFERENCIAL PARA  INGENIERIA,GENERAL,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Industrial,2024,industrial_malla_2024.md
U0174,INTRODUCCION A LA   INGENIERIA INDUSTRIAL,DE ESPECIALIDAD,SEMIPRESENCIAL,OBLIGATORIO,,2,Ingeniería Industrial,2024,industrial_malla_2024.md
U0685,DESARROLLO PERSONAL Y  AUTONOMIA,GENERAL,SEMIPRESENCIAL,OBLIGATORIO,,2,Ingeniería Industrial,2024,industrial_malla_2024.md
U0686,COMUNICACION Y   REDACCION I,GENERAL,NO PRESENCIAL,OBLIGATORIO,,3,Ingeniería Industrial,2024,industrial_malla_2024.md
U0013,QUIMICA GENERAL,GENERAL,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Industrial,2024,industrial_malla_2024.md
U0684,FILOSOFIA Y ETICA,GENERAL,NO PRESENCIAL,OBLIGATORIO,,3,Ingeniería Industrial,2024,industrial_malla_2024.md
G0037,INGLES 1,GENERAL,NO PRESENCIAL,OBLIGATORIO,,2,Ingeniería Industrial,2024,industrial_malla_2024.md
C8430,ACTIVIDAD   COMPLEMENTARIA I,GENERAL,PRESENCIAL,ELECTIVO,,1,Ingeniería Industrial,2024,industrial_malla_2024.md
U0175,ALGEBRA MATRICIAL Y   GEOMETRIA ANALITICA,GENERAL,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Industrial,2024,industrial_malla_2024.md
U0172,FISICA PARA INGENIERIA 1,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Industrial,2024,industrial_malla_2024.md
U0681,COMUNICACION Y   REDACCION II,GENERAL,NO PRESENCIAL,OBLIGATORIO,U0686,3,Ingeniería Industrial,2024,industrial_malla_2024.md
U0715,PENSAMIENTO CIENTIFICO E  INVESTIGACION,GENERAL,NO PRESENCIAL,OBLIGATORIO,,2,Ingeniería Industrial,2024,industrial_malla_2024.md
U0688,CIENCIAS SOCIALES EN EL  CONTEXTO ACTUAL,GENERAL,NO PRESENCIAL,OBLIGATORIO,,3,Ingeniería Industrial,2024,industrial_malla_2024.md
G0038,INGLES 2,GENERAL,NO PRESENCIAL,OBLIGATORIO,G0037,2,Ingeniería Industrial,2024,industrial_malla_2024.md
U0149,FUNDAMENTOS DE   PROGRAMACION,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C8938,ACTIVIDAD   COMPLEMENTARIA II,GENERAL,NO PRESENCIAL,ELECTIVO,,1,Ingeniería Industrial,2024,industrial_malla_2024.md
C7306,CALCULO INTEGRAL PARA  INGENIERIA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Industrial,2024,industrial_malla_2024.md
C7299,QUIMICA INDUSTRIAL,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,U0013,4,Ingeniería Industrial,2024,industrial_malla_2024.md
C1657,FUNDAMENTOS DE   BIOTECNOLOGIA,ESPECÍFICO,SEMIPRESENCIAL,OBLIGATORIO,U0013,4,Ingeniería Industrial,2024,industrial_malla_2024.md
C1621,PROCESOS DE INNOVACION  EN INGENIERIA,ESPECÍFICO,SEMIPRESENCIAL,OBLIGATORIO,,2,Ingeniería Industrial,2024,industrial_malla_2024.md
C1555,CONTABILIDAD Y COSTOS,DE ESPECIALIDAD,SEMIPRESENCIAL,OBLIGATORIO,,4,Ingeniería Industrial,2024,industrial_malla_2024.md
G0039,INGLES 3,GENERAL,NO PRESENCIAL,OBLIGATORIO,G0038,2,Ingeniería Industrial,2024,industrial_malla_2024.md
C8432,ACTIVIDAD   COMPLEMENTARIA III,GENERAL,PRESENCIAL,ELECTIVO,,1,Ingeniería Industrial,2024,industrial_malla_2024.md
C7308,OPERACIONES Y PROCESOS  UNITARIOS,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C7299,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C0741,CALCULO VECTORIAL PARA  INGENIERIA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,U0175,4,Ingeniería Industrial,2024,industrial_malla_2024.md
C7316,INGENIERIA ECONOMICA,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C1555,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1324,FUNDAMENTOS DE DISEÑO,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Industrial,2024,industrial_malla_2024.md
G0040,INGLES 4,GENERAL,NO PRESENCIAL,OBLIGATORIO,G0039,2,Ingeniería Industrial,2024,industrial_malla_2024.md
C8433,ACTIVIDAD   COMPLEMENTARIA IV,GENERAL,PRESENCIAL,ELECTIVO,,1,Ingeniería Industrial,2024,industrial_malla_2024.md
C1644,OPERATIONS RESEARCH AND  OPTIMIZATION,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C1555,4,Ingeniería Industrial,2024,industrial_malla_2024.md
C0503,ESTADISTICA Y   PROBABILIDADES PARA   INGENIERIA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Industrial,2024,industrial_malla_2024.md
C7322,INGENIERIA DE METODOS,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C7308,4,Ingeniería Industrial,2024,industrial_malla_2024.md
C1658,PROCESOS DE   MANUFACTURA,DE ESPECIALIDAD,SEMIPRESENCIAL,OBLIGATORIO,C7308,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C7324,ECONOMIA GENERAL,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1570,SISTEMAS DE INFORMACION,ESPECÍFICO,SEMIPRESENCIAL,OBLIGATORIO,,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1659,MARKETING STRATEGIES,DE ESPECIALIDAD,NO PRESENCIAL,OBLIGATORIO,C7324,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1646,FACILITIES DESIGN,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C7322,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C7328,PROYECTO INTEGRADOR,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Industrial,2024,industrial_malla_2024.md
C1574,ESTADISTICA APLICADA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C0503,4,Ingeniería Industrial,2024,industrial_malla_2024.md
C8445,ASIGNATURA ELECTIVA I,DE ESPECIALIDAD,PRESENCIAL,ELECTIVO,,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1660,SEGURIDAD EN EL TRABAJO Y  ERGONOMIA,DE ESPECIALIDAD,SEMIPRESENCIAL,OBLIGATORIO,C7322,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1661,TEORIA DE DECISIONES,DE ESPECIALIDAD,SEMIPRESENCIAL,OBLIGATORIO,C0503,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C7334,PLANIFICACION Y CONTROL  DE OPERACIONES,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C1646,4,Ingeniería Industrial,2024,industrial_malla_2024.md
C1637,FORMULACION Y   EVALUACION DE PROYECTOS,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C7324,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C7336,ASIGNATURA ELECTIVA II,DE ESPECIALIDAD,PRESENCIAL,ELECTIVO,,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C7337,ASIGNATURA ELECTIVA III,DE ESPECIALIDAD,PRESENCIAL,ELECTIVO,,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1583,ETICA PROFESIONAL Y   RESPONSABILIDAD SOCIAL,ESPECÍFICO,SEMIPRESENCIAL,OBLIGATORIO,U0130,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C7339,SIMULACION DE PROCESOS,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,C1661,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1648,ENVIRONMENTAL   MANAGEMENT,DE ESPECIALIDAD,SEMIPRESENCIAL,OBLIGATORIO,,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1663,QUALITY MANAGEMENT,DE ESPECIALIDAD,SEMIPRESENCIAL,OBLIGATORIO,,4,Ingeniería Industrial,2024,industrial_malla_2024.md
C1664,DESARROLLO PROFESIONAL,ESPECÍFICO,NO PRESENCIAL,OBLIGATORIO,C7328,2,Ingeniería Industrial,2024,industrial_malla_2024.md
C8927,ENTREPRENEURSHIP AND  INNOVATION,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,C7328,2,Ingeniería Industrial,2024,industrial_malla_2024.md
C1650,INDUSTRIAL CAPSTONE   PROJECT,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Industrial,2024,industrial_malla_2024.md
C1651,EXPERIENCIA VIVENCIAL EN  INGENIERIA INDUSTRIAL,DE ESPECIALIDAD,NO PRESENCIAL,OBLIGATORIO,C1664,2,Ingeniería Industrial,2024,industrial_malla_2024.md
C1652,PROYECTO DE TESIS EN   INGENIERIA INDUSTRIAL,DE ESPECIALIDAD,SEMIPRESENCIAL,OBLIGATORIO,C7339,5,Ingeniería Industrial,2024,industrial_malla_2024.md
C1653,BUSINESS INTELLIGENCE &  PREDICTABILITY,DE ESPECIALIDAD,NO PRESENCIAL,OBLIGATORIO,C1661,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1665,PROJECT MANAGEMENT,DE ESPECIALIDAD,SEMIPRESENCIAL,OBLIGATORIO,C1637,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1666,SUPPLY CHAIN   MANAGEMENT,DE ESPECIALIDAD,SEMIPRESENCIAL,OBLIGATORIO,C1663,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1667,FINANZAS EMPRESARIALES,DE ESPECIALIDAD,SEMIPRESENCIAL,OBLIGATORIO,C1637,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C8466,ASIGNATURA ELECTIVA V,DE ESPECIALIDAD,PRESENCIAL,ELECTIVO,,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1634,TRABAJO DE INVESTIGACION,DE ESPECIALIDAD,SEMIPRESENCIAL,OBLIGATORIO,,5,Ingeniería Industrial,2024,industrial_malla_2024.md
C1668,GESTION DEL TALENTO   HUMANO,DE ESPECIALIDAD,NO PRESENCIAL,OBLIGATORIO,C1664,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1655,DATA SCIENCE,DE ESPECIALIDAD,SEMIPRESENCIAL,OBLIGATORIO,C7339,4,Ingeniería Industrial,2024,industrial_malla_2024.md
C7359,COMPETENCIAS   DIRECTIVAS,DE ESPECIALIDAD,PRESENCIAL,ELECTIVO,C7324,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C7362,CLOUD COMPUTING & BIG  DATA,DE ESPECIALIDAD,PRESENCIAL,ELECTIVO,C1570,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C7355,INDUSTRIA 4.0,DE ESPECIALIDAD,PRESENCIAL,ELECTIVO,C1646,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C7358,GESTION ESTRATEGICA Y  OPERACIONAL,DE ESPECIALIDAD,PRESENCIAL,ELECTIVO,C1659,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C1656,DATA ANALYTICS,DE ESPECIALIDAD,PRESENCIAL,ELECTIVO,C1661,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C7357,LEAN MANUFACTURING,DE ESPECIALIDAD,PRESENCIAL,ELECTIVO,C7334,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C7360,SISTEMA INTEGRADO DE  GESTION,DE ESPECIALIDAD,PRESENCIAL,ELECTIVO,C1663,3,Ingeniería Industrial,2024,industrial_malla_2024.md
C7361,TOPICOS DE INTELIGENCIA  ARTIFICIAL,DE ESPECIALIDAD,PRESENCIAL,ELECTIVO,,3,Ingeniería Industrial,2024,industrial_malla_2024.md
