codigo,nombre,tipo_estudio,modalidad,tipo_asignatura,prerrequisito,creditos_total,carrera,cohorte,archivo
U0686,COMUNICACIÓN Y REDACCIÓN I,GENERAL,NO PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2025,informatica_malla_2025.md
U0130,CÁLCULO  DIFERENCIAL PARA INGENIERÍA,GENERAL,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Informática,2025,informatica_malla_2025.md
U0013,QUIMICA GENERAL,GENERAL,PRESENCIAL,OBLIGATORIO,,5,Ingeniería Informática,2025,informatica_malla_2025.md
U0684,FILOSOFÍA Y ÉTICA,GENERAL,NO PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2025,informatica_malla_2025.md
U0685,DESARROLLO PERSONAL Y  AUTONOMÍA,GENERAL,SEMIPRESENCIAL,OBLIGATORIO,,2,Ingeniería Informática,2025,informatica_malla_2025.md
U0722,INTRODUCCIÓN A LA INGENIERÍA  INFORMÁTICA,GENERAL,SEMI  PRESENCIAL,OBLIGATORIO,,2,Ingeniería Informática,2025,informatica_malla_2025.md
G0037,INGLES 1,GENERAL,NO PRESENCIAL,OBLIGATORIO,,2,Ingeniería Informática,2025,informatica_malla_2025.md
C8937,ACTIVIDAD COMPLEMENTARIA I,GENERAL,NO PRESENCIAL,ELECTIVO,,1,Ingeniería Informática,2025,informatica_malla_2025.md
U0681,COMUNICACIÓN Y REDACCIÓN II,GENERAL,NO PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2025,informatica_malla_2025.md
U0129,ÁLGEBRA MATRICIAL Y  GEOMETRÍA  ANALÍTICA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2025,informatica_malla_2025.md
U0724,FÍSICA PARA  INGENIERÍA 1,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Informática,2025,informatica_malla_2025.md
U0149,FUNDAMENTOS DE PROGRAMACIÓN,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2025,informatica_malla_2025.md
U0688,CIENCIAS SOCIALES EN EL CONTEXTO  ACTUAL,GENERAL,NO PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2025,informatica_malla_2025.md
U0715,PENSAMIENTO  CIENTÍFICO E  INVESTIGACIÓN,GENERAL,NO PRESENCIAL,OBLIGATORIO,,2,Ingeniería Informática,2025,informatica_malla_2025.md
U0683,CULTURA AMBIENTAL Y  DESARROLLO  SOSTENIBLE,GENERAL,NO PRESENCIAL,OBLIGATORIO,,1,Ingeniería Informática,2025,informatica_malla_2025.md
G0038,INGLES 2,GENERAL,NO PRESENCIAL,OBLIGATORIO,G0037,2,Ingeniería Informática,2025,informatica_malla_2025.md
C8938,ACTIVIDAD COMPLEMENTARIA II,GENERAL,NO PRESENCIAL,ELECTIVO,,1,Ingeniería Informática,2025,informatica_malla_2025.md
C7306,CÁLCULO INTEGRAL PARA INGENIERÍA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Informática,2025,informatica_malla_2025.md
C8911,ELECTRÓNICA  DIGITAL Y  ROBÓTICA,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Informática,2025,informatica_malla_2025.md
C1621,PROCESOS DE  INNOVACIÓN EN  INGENIERÍA,ESPECÍFICO,SEMIPRESENCIAL,OBLIGATORIO,,2,Ingeniería Informática,2025,informatica_malla_2025.md
C8912,BASES DE DATOS I,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2025,informatica_malla_2025.md
C8913,PARADIGMAS DE  LENGUAJES DE  PROGRAMACIÓN,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2025,informatica_malla_2025.md
C8914,ESTRUCTURAS  DISCRETAS I,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2025,informatica_malla_2025.md
G0039,INGLES 3,GENERAL,NO PRESENCIAL,OBLIGATORIO,G0038,2,Ingeniería Informática,2025,informatica_malla_2025.md
C8939,ACTIVIDAD COMPLEMENTARIA III,GENERAL,NO PRESENCIAL,ELECTIVO,,1,Ingeniería Informática,2025,informatica_malla_2025.md
C0741,CÁLCULO  VECTORIAL PARA  INGENIERÍA,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Informática,2025,informatica_malla_2025.md
C1324,FUNDAMENTOS DE DISEÑO,ESPECÍFICO,PRESENCIAL,OBLIGATORIO,,3,Ingeniería Informática,2025,informatica_malla_2025.md
C8915,ORGANIZACIÓN Y ARQUITECTURA DE COMPUTADORES,DE ESPECIALIDAD,PRESENCIAL,OBLIGATORIO,,4,Ingeniería Informática,2025,informatica_malla_2025.md
